Area,Description,Emirate,Zone
AL QULAYAA,AL QULAYAA,SHARJAH,ZONE H
AL QULAYAH,AL QULAYAH,SHARJAH,ZONE H
AL QUOZ,AL QUOZ,DUBAI,ZONE B
AL QUOZ 1,AL QUOZ 1,DUBAI,ZONE B
AL QUOZ 2,AL QUOZ 2,DUBAI,ZONE B
AL QUOZ 3,AL QUOZ 3,DUBAI,ZONE B
AL QUOZ 4 - AL KHAIL MALL,AL QUOZ 4 - AL KHAIL MALL,DUBAI,ZONE B
AL QUOZ IND. AREA 2,AL QUOZ IND. AREA 2,DUBAI,ZONE B
AL QUOZ INDUSTRIAL AREA 1,AL QUOZ INDUSTRIAL AREA 1,DUBAI,ZONE B
AL QUOZ INDUSTRIAL AREA 3,AL QUOZ INDUSTRIAL AREA 3,DUBAI,ZONE B
AL QUOZ INDUSTRIAL AREA 4,AL QUOZ INDUSTRIAL AREA 4,DUBAI,ZONE B
AL QURAYYAH,AL QURAYYAH,FUJAIRAH,ZONE I
"AL QURDA, CAMEL RACE TRACK","AL QURDA, CAMEL RACE TRACK",DUBAI,ZONE A
AL QURM - ABU DHABI,AL QURM - ABU DHABI,ABU DHABI,ZONE K
AL QURM - RAK,AL QURM - RAK,RAS AL KHAIMAH,ZONE I
AL QUSAIDAT,AL QUSAIDAT,RAS AL KHAIMAH,ZONE I
AL QUSAIS,AL QUSAIS,DUBAI,ZONE G
AL RAAS - A,AL RAAS - A,UMM AL QUWAIN,ZONE I
AL RAAS - B,AL RAAS - B,UMM AL QUWAIN,ZONE I
AL RAAS - C,AL RAAS - C,UMM AL QUWAIN,ZONE I
AL RAAS - D,AL RAAS - D,UMM AL QUWAIN,ZONE I
AL RAFAAH- UAQ,AL RAFAAH- UAQ,RAS AL KHAIMAH,ZONE I
AL RAFFA,AL RAFFA,DUBAI,ZONE E
AL RAHA BEAC,AL RAHA BEACH,ABUDHABI,ZONE K
AL RAHA BEACH,AL RAHA BEACH,ABU DHABI,ZONE K
AL RAHA BEACH AREA,AL RAHA BEACH AREA,ABUDHABI,ZONE K
AL RAHA GARDENS,AL RAHA GARDENS,ABU DHABI,ZONE K
AL RAHBA,AL RAHBA,ABUDHABI,ZONE K
AL RAHMANIAH,AL RAHMANIAH,AL AIN,ZONE H
AL RAHMANIYA 1,AL RAHMANIYA 1,SHARJAH,ZONE H
AL RAHMANIYA 2,AL RAHMANIYA 2,SHARJAH,ZONE H
AL RAHMANIYA 3,AL RAHMANIYA 3,SHARJAH,ZONE H
AL RAHMANIYA 4,AL RAHMANIYA 4,SHARJAH,ZONE H
AL RAHMANIYA 5,AL RAHMANIYA 5,SHARJAH,ZONE H
AL RAHMANIYA 6,AL RAHMANIYA 6,SHARJAH,ZONE H
AL RAHMANIYA 7,AL RAHMANIYA 7,SHARJAH,ZONE H
AL RAHMANIYA 8,AL RAHMANIYA 8,SHARJAH,ZONE H
AL RAMAQIYA,AL RAMAQIYA,SHARJAH,ZONE H
AL RAMAQIYA SHJ,AL RAMAQIYA SHJ,SHARJAH,ZONE H
AL RAMLA EAST,AL RAMLA EAST,SHARJAH,ZONE H
AL RAMLA WEST,AL RAMLA WEST,SHARJAH,ZONE H
AL RAMLAH,AL RAMLAH,UMM AL QUWAIN,ZONE I
AL RAMLAH - B,AL RAMLAH - B,UMM AL QUWAIN,ZONE I
AL RAMLAH - C,AL RAMLAH - C,UMM AL QUWAIN,ZONE I
AL RAMS,AL RAMS,RAS AL KHAIMAH,ZONE I
AL RAMS - OUTER,AL RAMS - OUTER,RAS AL KHAIMAH,ZONE I
AL RAMTHA,AL RAMTHA,SHARJAH,ZONE H
AL RAMTHA SHJ,AL RAMTHA SHJ,SHARJAH,ZONE H
AL RAQAIB 1,AL RAQAIB 1,AJMAN,ZONE I
AL RAQAIB 2,AL RAQAIB 2,AJMAN,ZONE I
AL RAQAIB AJM,AL RAQAIB AJM,AJMAN,ZONE I
AL RAS,AL RAS,DUBAI,ZONE E
AL RAS AL AKHDAR,AL RAS AL AKHDAR,ABU DHABI,ZONE K
AL RASHIDIYA - AJMAN,AL RASHIDIYA - AJMAN,AJMAN,ZONE I
AL RASHIDIYA - AJMAN 2,AL RASHIDIYA - AJMAN 2,AJMAN,ZONE I
AL RASHIDIYA - DUBAI,AL RASHIDIYA - DUBAI,DUBAI,ZONE G
AL RASHIDIYA - UAQ,AL RASHIDIYA - UAQ,UMM AL QUWAIN,ZONE I
AL RASHIDIYA 3 - AJMAN,AL RASHIDIYA 3 - AJMAN,AJMAN,ZONE I
AL RAUDAH,AL RAUDAH,UMM AL QUWAIN,ZONE I
AL RAWADA AAN,AL RAWADA AAN,AL AIN,ZONE J
AL RAWDA AJM,AL RAWDA AJM,AJMAN,ZONE I
AL RAWDHA 1,AL RAWDHA 1,AJMAN,ZONE I
AL RAWDHA 2,AL RAWDHA 2,AJMAN,ZONE I
AL RAWDHA 3,AL RAWDHA 3,AJMAN,ZONE I
AL RAYHAN AUH,AL RAYHAN AUH,ABUDHABI,ZONE K
AL RAYHAN SHJ,AL RAYHAN SHJ,SHARJAH,ZONE H
AL RAYYANA,AL RAYYANA,ABU DHABI,ZONE K
AL RAZEEN,AL RAZEEN,ABU DHABI,ZONE K
AL REEF,AL REEF,ABU DHABI,ZONE K
AL REEF VILL,AL REEF VILLAGE,ABUDHABI,ZONE K
AL REEM,AL REEM,DUBAI,ZONE A
AL REEM ISLAND,AL REEM ISLAND,ABU DHABI,ZONE K
AL REMEILA AJM,AL REMEILA AJM,AJMAN,ZONE I
AL RIFA''AH,AL RIFA''AH,SHARJAH,ZONE H
AL RIFFA - RAK,AL RIFFA - RAK,RAS AL KHAIMAH,ZONE I
AL RIFFA'A,AL RIFFA'A,SHARJAH,ZONE H
AL RIFFAH,AL RIFFAH,SHARJAH,ZONE H
AL RIGGA,AL RIGGA,DUBAI,ZONE E
AL RIQQAH,AL RIQQAH,UMM AL QUWAIN,ZONE I
AL ROWDAH 2,AL ROWDAH 2,ABU DHABI,ZONE K
AL ROWDAH AL ZAAB,AL ROWDAH AL ZAAB,ABU DHABI,ZONE K
AL ROWDAH AUH,AL ROWDAH AUH,ABUDHABI,ZONE K
AL RUMAILA,AL RUMAILA,ABU DHABI,ZONE K
AL RUMAILAH,AL RUMAILAH,AJMAN,ZONE I
AL SAAD,AL SAAD,AL AIN,ZONE J
AL SAAF,AL SAAF,FUJAIRAH,ZONE I
AL SAAF 2,AL SAAF 2,FUJAIRAH,ZONE I
AL SABKHA - DUBAI,AL SABKHA - DUBAI,DUBAI,ZONE E
AL SABKHA - SHARJAH,AL SABKHA - SHARJAH,SHARJAH,ZONE H
AL SABKHA BUS STATION DXB,AL SABKHA BUS STATION DXB,DUBAI,ZONE E
AL SADI,AL SADI,RAS AL KHAIMAH,ZONE I
AL SAFA,AL SAFA,DUBAI,ZONE D
AL SAFA 1,AL SAFA 1,DUBAI,ZONE E
AL SAFA 2,AL SAFA 2,DUBAI,ZONE E
AL SAFARAT,AL SAFARAT,ABU DHABI,ZONE K
AL SAFIA,AL SAFIA,AJMAN,ZONE I
AL SAJA INDUSTRIAL,AL SAJA INDUSTRIAL,SHARJAH,ZONE H
AL SALAMA AREA,AL SALAMA AREA,UMM AL QUWAIN,ZONE I
AL SALAMAH - A,AL SALAMAH - A,UMM AL QUWAIN,ZONE I
AL SALAMAH - B,AL SALAMAH - B,UMM AL QUWAIN,ZONE I
AL SALAMAH - C,AL SALAMAH - C,UMM AL QUWAIN,ZONE I
AL SALAMAT,AL SALAMAT,AL AIN,ZONE J
AL SALAMAT DISTRICT,AL SALAMAT DISTRICT,AL AIN,ZONE J
AL SALL,AL SALL,RAS AL KHAIMAH,ZONE I
AL SAMHA,AL SAMHA,ABU DHABI,ZONE K
AL SAMHA EAST AUH,AL SAMHA EAST AUH,ABUDHABI,ZONE K
AL SAROOJ,AL SAROOJ,AL AIN,ZONE J
AL SAROOJ-NEW,AL SAROOJ-NEW,AL AIN,ZONE J
AL SAROOJ-OLD,AL SAROOJ-OLD,AL AIN,ZONE J
AL SATWA,AL SATWA,DUBAI,ZONE D
AL SAWAFI,AL SAWAFI,FUJAIRAH,ZONE I
AL SAWAN,AL SAWAN,AJMAN,ZONE I
AL SEEF - ABU DHABI,AL SEEF - ABU DHABI,ABU DHABI,ZONE K
AL SEEF - SHARJAH,AL SEEF - SHARJAH,SHARJAH,ZONE H
AL SEER,AL SEER,RAS AL KHAIMAH,ZONE I
AL SHAAIBAH,AL SHAAIBAH,AL AIN,ZONE J
AL SHABUR,AL SHABUR,FUJAIRAH,ZONE I
AL SHAHAMA,AL SHAHAMA,ABU DHABI,ZONE K
AL SHAHAMA OLD,AL SHAHAMA OLD,ABU DHABI,ZONE K
AL SHAHBA,AL SHAHBA,SHARJAH,ZONE H
AL SHALEELA,AL SHALEELA,ABU DHABI,ZONE K
AL SHAMKHA,AL SHAMKHA,ABU DHABI,ZONE K
AL SHAMKHA - 1,AL SHAMKHA - 1,ABU DHABI,ZONE K
AL SHAMKHA - 2,AL SHAMKHA - 2,ABU DHABI,ZONE K
AL SHAMKHA EAST,AL SHAMKHA EAST,ABU DHABI,ZONE K
AL SHAMKHA SOUTH,AL SHAMKHA SOUTH,ABU DHABI,ZONE K
AL SHAMKHA1,AL SHAMKHA1,ABU DHABI,ZONE K
AL SHAMKHA2,AL SHAMKHA2,ABU DHABI,ZONE K
AL SHARIA,AL SHARIA,FUJAIRAH,ZONE I
"AL SHARISHA, AL MATAF","AL SHARISHA, AL MATAF",RAS AL KHAIMAH,ZONE I
AL SHARQ,AL SHARQ,SHARJAH,ZONE H
AL SHAWAMEKH,AL SHAWAMEKH,ABU DHABI,ZONE K
AL SHOLA PRIVATE SCHOOL,AL SHOLA PRIVATE SCHOOL,SHARJAH,ZONE H
AL SHUWAIB,AL SHUWAIB,AL AIN,ZONE J
AL SHUWAIHEAN,AL SHUWAIHEAN,SHARJAH,ZONE H
AL SHWAIB,AL SHWAIB,AL AIN,ZONE J
AL SOOR - RAK,AL SOOR - RAK,RAS AL KHAIMAH,ZONE I
AL SOOR - SHARJAH,AL SOOR - SHARJAH,SHARJAH,ZONE H
"AL SOUK AL KABEER, PORT RASHID","AL SOUK AL KABEER, PORT RASHID",DUBAI,ZONE E
AL SUFOUH 1,AL SUFOUH 1,DUBAI,ZONE C
AL SUYOH,AL SUYOH - SHARJAH,SHARJAH,ZONE H
AL SWEIHAT,AL SWEIHAT,SHARJAH,ZONE H
AL TALA'A,AL TALA'A,SHARJAH,ZONE H
AL TALLAH 1,AL TALLAH 1,AJMAN,ZONE I
AL TALLAH 2,AL TALLAH 2,AJMAN,ZONE I
AL TARFANA,AL TARFANA,SHARJAH,ZONE H
Al TAWUN,Al TAAWUN,SHARJAH,ZONE H
AL TAWOON,AL TAWOON,SHARJAH,ZONE H
AL TAWUN - AL TAWUN ROAD,AL TAWUN - AL TAWUN ROAD,SHARJAH,ZONE H
AL TAWUN - NORTH,AL TAWUN - NORTH,SHARJAH,ZONE H
AL THAMMAM,AL THAMMAM,DUBAI,ZONE A
AL THANYAH 1- TECOM,AL THANYAH 1- TECOM,DUBAI,ZONE B
AL THANYAH 2,AL THANYAH 2,DUBAI,ZONE B
AL THANYAH 3,AL THANYAH 3,DUBAI,ZONE B
AL THANYAH 4 - SPRINGS,AL THANYAH 4 - SPRINGS,DUBAI,ZONE B
"AL THANYAH 5, JUMEIRAH PARK, MEADOWS 1,2","AL THANYAH 5, JUMEIRAH PARK, MEADOWS 1,2",DUBAI,ZONE B
AL THARFAN,AL THARFAN,SHARJAH,ZONE H
AL THURAYYA,AL THURAYYA,ABU DHABI,ZONE K
AL TOUBA AL AIN,AL TOUBA AL AIN,AL AIN,ZONE J
AL TOWAYA,AL TOWAYA,AL AIN,ZONE J
AL TOWAYYA,AL TOWAYYA,AL AIN,ZONE J
AL TURFAH,AL TURFAH,RAS AL KHAIMAH,ZONE I
AL TWAR,"AL TWAR 1, 2, 3",DUBAI,ZONE G
AL TWAR 1,AL TWAR 1,DUBAI,ZONE G
AL TWAR 2,AL TWAR 2,DUBAI,ZONE G
AL TWAR 3,AL TWAR 3,DUBAI,ZONE G
"AL URAIBI, AL MANARA MALL","AL URAIBI, AL MANARA MALL",RAS AL KHAIMAH,ZONE I
AL WADHA MALL,AL WADHA MALL,ABU DHABI,ZONE K
AL WAGAN,AL WAGAN,AL AIN,ZONE J
AL WAHA COMMUNITY,AL WAHA COMMUNITY,DUBAI,ZONE A
AL WAHDAH NEW,AL WAHDAH NEW,ABU DHABI,ZONE K
AL WARQA,AL WARQA,DUBAI,ZONE G
AL WARQA A 1,AL WARQA'A 1,DUBAI,ZONE G
AL WARQA A 2,AL WARQA'A 2,DUBAI,ZONE G
AL WARQA A 3,AL WARQA'A 3,DUBAI,ZONE G
AL WARQA A 4,AL WARQA'A 4,DUBAI,ZONE G
AL WARQA A 5,AL WARQA'A 5,DUBAI,ZONE G
AL WASL,AL WASL,DUBAI,ZONE D
AL WATHBA,AL WATHBA,ABUDHABI,ZONE K
AL WATHBA CYCLE TRACK,AL WATHBA CYCLE TRACK,ABU DHABI,ZONE K
AL WATHBA NORTH,AL WATHBA NORTH,ABU DHABI,ZONE K
AL WATHBA SOUTH,AL WATHBA SOUTH,ABU DHABI,ZONE K
AL WATHBA WETLAND RESERVE,AL WATHBA WETLAND RESERVE,ABU DHABI,ZONE K
AL WUHEIDA,AL WUHEIDA,DUBAI,ZONE E
AL YAHAR,AL YAHAR,AL AIN,ZONE J
AL YAHAR ALIA,AL YAHAR ALIA,AL AIN,ZONE J
AL YAHAR NORTH,AL YAHAR NORTH,AL AIN,ZONE J
AL YAHAR NORTH NEW,AL YAHAR NORTH NEW,AL AIN,ZONE J
AL YAHAR SOUTH,AL YAHAR SOUTH,AL AIN,ZONE J
AL YALAYIS,AL YALAYIS,DUBAI,ZONE A
AL YALAYIS 1,AL YALAYIS 1,DUBAI,ZONE A
AL YALAYIS 2,AL YALAYIS 2,DUBAI,ZONE A
AL YALAYIS 3,AL YALAYIS 3,DUBAI,ZONE A
AL YARMOOK - SHARJAH,AL YARMOOK - SHARJAH,SHARJAH,ZONE H
AL YARMOUK - FUJ,AL YARMOUK - FUJ,FUJAIRAH,ZONE I
AL YASH STREET,AL YASH STREET,SHARJAH,ZONE H
AL YASMEEN,AL YASMEEN,SHARJAH,ZONE H
AL YUFRAH 1,AL YUFRAH 1,DUBAI,ZONE A
AL YUFRAH 2,AL YUFRAH 2,DUBAI,ZONE A
AL ZAAB,AL ZAAB,ABU DHABI,ZONE K
AL ZAAB 2,AL ZAAB 2,ABU DHABI,ZONE K
AL ZAHIYAH,AL ZAHIYAH,ABUDHABI,ZONE K
AL ZAHYA,AL ZAHYA,AJMAN,ZONE I
AL ZAWRAH,AL ZAWRAH,AJMAN,ZONE I
AL ZEINA,AL ZEINA,ABUDHABI,ZONE K
AL ZUBAIR,AL ZUBAIR,SHARJAH,ZONE H
AL ZUBAIR ORCHARDS,AL ZUBAIR ORCHARDS,SHARJAH,ZONE H
ANAJAIMAT,ANAJAIMAT,FUJAIRAH,ZONE I
ARAB RANCHES,ARABIAN RANCHES,DUBAI,ZONE A
ASHERJ,ASHERJ,AL AIN,ZONE J
AUH DRIVING LICENSE DEPT - MUROOR,AUH DRIVING LICENSE DEPT - MUROOR,ABU DHABI,ZONE K
AUH POLICE CLINIC - MUROOR,AUH POLICE CLINIC - MUROOR,ABU DHABI,ZONE K
AUH POLICE COLLEGE - MUROOR,AUH POLICE COLLEGE - MUROOR,ABU DHABI,ZONE K
AWEER,AWEER,DUBAI,ZONE F
AYAL NASIR,AYAL NASIR,DUBAI,ZONE E
BAB AL SHAMS,BAB AL SHAMS,DUBAI,ZONE A
BAHANA - 2,BAHANA - 2,FUJAIRAH,ZONE I
BANIYAS,BANIYAS,ABUDHABI,ZONE K
BANIYAS EAST,BANIYAS EAST,ABU DHABI,ZONE K
"BANIYAS EAST 7,8,9,10","BANIYAS EAST 7,8,9,10",ABU DHABI,ZONE K
BANIYAS WEST,BANIYAS WEST,ABU DHABI,ZONE K
BANIYAS-AUH,BANIYAS-AUH,ABUDHABI,ZONE K
BAQAL,BAQAL,RAS AL KHAIMAH,ZONE I
BARAHA KALBA,BARAHA KALBA,FUJAIRAH,ZONE I
BARASHI,BARASHI,SHARJAH,ZONE H
BATEEN AREA,BATEEN AREA,ABUDHABI,ZONE K
BATIYAH SOUTH,BATIYAH SOUTH,RAS AL KHAIMAH,ZONE I
BEIN AL JAZARI,BEIN AL JAZARI,ABUDHABI,ZONE K
BIDA BINT SA,BIDA BINT SAUD,AL AIN,ZONE J
BIEN AL JASHRIEN,BIEN AL JASHRIEN,ABUDHABI,ZONE K
BIN MAJID HOTELS & RESORTS,BIN MAJID HOTELS & RESORTS,RAS AL KHAIMAH,ZONE I
BLOOM GARDEN,BLOOM GARDEN,ABUDHABI,ZONE K
BLUE WATERS ISLAND,BLUE WATERS ISLAND,DUBAI,ZONE C
BLUEWATERS ISLAND,BLUEWATERS ISLAND,DUBAI,ZONE C
BREAK WATER,BREAK WATER,ABU DHABI,ZONE K
BU KARDA,BU KARDA,DUBAI,ZONE F
BUILDING MATERIALS CITY,BUILDING MATERIALS CITY,ABU DHABI,ZONE K
BUR DUBAI,BUR DUBAI,DUBAI,ZONE E
BUSINESS BAY,BUSINESS BAY,DUBAI,ZONE E
BUTINA,BUTINA,SHARJAH,ZONE H
ABU ABYAD ISLAND,ABU ABYAD ISLAND,ABUDHABI,ZONE K
CAMEL RACE TRACK,CAMEL RACE TRACK,RAS AL KHAIMAH,ZONE I
"CAMEL RACE, POLICE ACADEMY","CAMEL RACE, POLICE ACADEMY",SHARJAH,ZONE H
CANAL DISTRICT PHASE 2/JEBEL ALI DISTRICT,CANAL DISTRICT PHASE 2/JEBEL ALI DISTRICT,DUBAI,ZONE B
CENTRAL BANK OF THE UAE - AL BATEEN,CENTRAL BANK OF THE UAE - AL BATEEN,ABU DHABI,ZONE K
CENTRAL DISTRICT,CENTRAL DISTRICT,AL AIN,ZONE J
CENTRAL SOUQ,CENTRAL SOUQ,SHARJAH,ZONE H
CORNICHE BEACH,CORNICHE BEACH,ABU DHABI,ZONE K
CORNICHE DEIRA,CORNICHE DEIRA,DUBAI,ZONE E
CORNICHE RD,CORNICHE RD,ABUDHABI,ZONE K
CREEK VILLAS,CREEK VILLAS,DUBAI,ZONE E
DADNA,DADNA,FUJAIRAH,ZONE I
DAFAN AL KHOR,DAFAN AL KHOR,RAS AL KHAIMAH,ZONE I
DAHAN,DAHAN,RAS AL KHAIMAH,ZONE I
DAMAC,DAMAC HILLS,DUBAI,ZONE A
DASMAN,DASMAN,SHARJAH,ZONE H
DEFENCE CAMP,DEFENCE CAMP,UMM AL QUWAIN,ZONE I
DEIRA,DEIRA,DUBAI,ZONE E
DEIRA CITY CENTRE,DEIRA CITY CENTRE,DUBAI,ZONE E
DFC,DUABI FESTIVAL CITY,DUBAI,ZONE G
DHAID,DHAID,SHARJAH,ZONE H
DIBBA,DIBBA,FUJAIRAH,ZONE I
DIBBA AL FUJAIRAH,DIBBA AL FUJAIRAH,FUJAIRAH,ZONE I
DIBBA AL HISN,DIBBA AL HISN,FUJAIRAH,ZONE I
"DIBBA BEACH, SUWAYFAH","DIBBA BEACH, SUWAYFAH",FUJAIRAH,ZONE I
DIC,DIC,DUBAI,ZONE A
DIFC,DIFC,DUBAI,ZONE E
DIFC - TRADE CENTRE 2,DIFC - TRADE CENTRE 2,DUBAI,ZONE E
DIP 2,DIP 2,DUBAI,ZONE A
DIP GREEN,DIP GREEN COMMUNITY,DUBAI,ZONE A
DISCOVERY,DISCOVERY GARDENS,DUBAI,ZONE B
DISCOVERY GARDENS,DISCOVERY GARDENS,DUBAI,ZONE B
DOWNTOWN,DOWNTOWN DUBAI,DUBAI,ZONE E
DOWNTOWN JABAL ALI - ZONE 4,DOWNTOWN JABAL ALI - ZONE 4,DUBAI,ZONE E
DOWNTOWN JABAL ALI ZONE 1,DOWNTOWN JABAL ALI ZONE 1,DUBAI,ZONE E
DOWNTOWN JABAL ALI ZONE 2,DOWNTOWN JABAL ALI ZONE 2,DUBAI,ZONE E
DSC,DUBAI STUDIO CITY,DUBAI,ZONE A
DUBAI DESIGN DISTRICT,DUBAI DESIGN DISTRICT,DUBAI,ZONE E
DUBAI FESTIVAL CITY,DUBAI FESTIVAL CITY,DUBAI,ZONE G
DUBAI HILLS,DUBAI HILLS,DUBAI,ZONE A
DUBAI INTERNATIONAL AIRPORT TERMINAL 1,DUBAI INTERNATIONAL AIRPORT TERMINAL 1,DUBAI,ZONE E
DUBAI INTERNATIONAL AIRPORT TERMINAL 2,DUBAI INTERNATIONAL AIRPORT TERMINAL 2,DUBAI,ZONE E
"DUBAI INTERNATIONAL CITY, WARSAN 1","DUBAI INTERNATIONAL CITY, WARSAN 1",DUBAI,ZONE F
DUBAI INVESTMENT PARK 1,DUBAI INVESTMENT PARK 1,DUBAI,ZONE A
DUBAI INVESTMENT PARK 2,DUBAI INVESTMENT PARK 2,DUBAI,ZONE A
DUBAI MALL,DUBAI MALL,DUBAI,ZONE E
DUBAI MARINA,DUBAI MARINA,DUBAI,ZONE C
DUBAI MARITIME CITY,DUBAI MARITIME CITY,DUBAI,ZONE E
DUBAI OUTER,DUBAI OUTER,DUBAI,ZONE E
DUBAI OUTER 2,DUBAI OUTER 2,DUBAI,ZONE E
"DUBAI OUTLET MALL, MINHAD AB","DUBAI OUTLET MALL, MINHAD AB",DUBAI,ZONE F
DUBAI PRODUCTION CITY,DUBAI PRODUCTION CITY,DUBAI,ZONE A
DUBAI SOUTH,DUBAI SOUTH,DUBAI,ZONE A
DUBAI WORLD CENTRAL,DUBAI WORLD CENTRAL,DUBAI,ZONE A
DUBAILAND,DUBAILAND,DUBAI,ZONE F
DUCAMZ,DUCAMZ,DUBAI,ZONE F
DWC GOLF CITY,DWC GOLF CITY,DUBAI,ZONE A
EKHALIFA CITY A - POLICE STATION,EKHALIFA CITY A - POLICE STATION,ABU DHABI,ZONE K
ELECTRA PARK,ELECTRA PARK,ABU DHABI,ZONE K
ELECTRA ST,ELECTRA ST,AbUDHABI,ZONE K
ELIASH,ELIASH,SHARJAH,ZONE H
EMIRATE HILL,EMIRATES HILLS,DUBAI,ZONE B
EMIRATES CITY,EMIRATES CITY,DUBAI,ZONE I
EMIRATES MODERN INDUSTRIAL AREA,EMIRATES MODERN INDUSTRIAL AREA,UMM AL QUWAIN,ZONE I
EMIRATES ROAD,EMIRATES ROAD,DUBAI,ZONE A
EMMAR SOUTH,EMMAR SOUTH,DUBAI,ZONE A
ETIHAD TOWERS,ETIHAD TOWERS,ABU DHABI,ZONE K
FALAJ AL MULLA,FALAJ AL MULLA,UMM AL QUWAIN,ZONE I
FALAJ HAZZAA MUROOR,FALAJ HAZZAA MUROOR,AL AIN,ZONE J
FALCON CITY,FALCON CITY,DUBAI,ZONE F
FALLAJ AL MUWALLAH,FALLAJ AL MUWALLAH,UMM AL QUWAIN,ZONE I
FAYYAD MINAZ,FAYYAD MINAZ,FUJAIRAH,ZONE I
Financial center,,DUBAI,ZONE C
FISH MARKET - SHARJAH,FISH MARKET - SHARJAH,SHARJAH,ZONE H
FLAG ISLAND,FLAG ISLAND,SHARJAH,ZONE H
FRUIT & VEGETABLE MARKET,FRUIT & VEGETABLE MARKET,DUBAI,ZONE F
FRUIT & VEGETABLE MARKET (SHARJAH),FRUIT & VEGETABLE MARKET (SHARJAH),SHARJAH,ZONE H
FUJAIRAH CITY CENTER,FUJAIRAH CITY CENTER,FUJAIRAH,ZONE I
FUJAIRAH CITY CENTER OUTER,FUJAIRAH CITY CENTER OUTER,FUJAIRAH,ZONE I
FUJAIRAH CITY OUTER,FUJAIRAH CITY OUTER,FUJAIRAH,ZONE I
FUJAIRAH CITY OUTER 1,FUJAIRAH CITY OUTER 1,FUJAIRAH,ZONE I
FUJAIRAH CITY OUTER 2,FUJAIRAH CITY OUTER 2,FUJAIRAH,ZONE I
FUJAIRAH FREE TRADE ZONE,FUJAIRAH FREE TRADE ZONE,FUJAIRAH,ZONE I
FUJAIRAH HOSPITAL,FUJAIRAH HOSPITAL,FUJAIRAH,ZONE I
FUJAIRAH INTL AIRPORT,FUJAIRAH INTL AIRPORT,FUJAIRAH,ZONE I
"FUJAIRAH MUNICIPALITY,EID MUSSALLA RD","FUJAIRAH MUNICIPALITY,EID MUSSALLA RD",FUJAIRAH,ZONE I
FUJAIRAH OUTER AREA,FUJAIRAH OUTER AREA,FUJAIRAH,ZONE I
FUJAIRAH OUTER AREA - 2,FUJAIRAH OUTER AREA - 2,FUJAIRAH,ZONE I
FUJAIRAH OUTER MONTAINS,FUJAIRAH OUTER MONTAINS,FUJAIRAH,ZONE I
FUJAIRAH PORT,FUJAIRAH PORT,FUJAIRAH,ZONE I
GANTOOT,GANTOOT,ABUDHABI,ZONE K
GARDENS,GARDENS,DUBAI,ZONE B
GARHOUD,GARHOUD,DUBAI,ZONE G
"GHALILAH,WADI GHALILAH","GHALILAH,WADI GHALILAH",RAS AL KHAIMAH,ZONE I
GHANIMA AL AIN,GHANIMA AL AIN,AL AIN,ZONE J
GHANTOOT,GHANTOOT,ABU DHABI,ZONE K
GHANTOOT OUTER,GHANTOOT OUTER,ABU DHABI,ZONE K
GHAREBAH,GHAREBAH,AL AIN,ZONE J
"GHUB, CEMENT FACTORY","GHUB, CEMENT FACTORY",FUJAIRAH,ZONE I
GLOBAL VILLAGE,GLOBAL VILLAGE,DUBAI,ZONE A
GOLF,GOLF CITY,DUBAI,ZONE A
GREEN BELT - UMM AL QUWAIN,GREEN BELT - UMM AL QUWAIN,UMM AL QUWAIN,ZONE I
GREENS,GREENS,DUBAI,ZONE B
HABSAB,HABSAB,FUJAIRAH,ZONE I
"HADABAT AL ZAAFARAN, AL SALAM STREET","HADABAT AL ZAAFARAN, AL SALAM STREET",ABU DHABI,ZONE K
HADEQ MOHAMMED BIN RASHID,HADEQ MOHAMMED BIN RASHID,DUBAI,ZONE E
HAI KHALID,HAI KHALID,AL AIN,ZONE J
HALWAN SUBURB,HALWAN SUBURB,SHARJAH,ZONE H
HAMDAN ST,HAMDAN ST,AbUDHABI,ZONE K
"HAMDAN STREET, AL HOSN, MARKAZIYA WEST","HAMDAN STREET, AL HOSN, MARKAZIYA WEST",ABU DHABI,ZONE K
HAMRIYA,HAMRIYA,DUBAI,ZONE G
HATEEN,HATEEN,FUJAIRAH,ZONE I
HATTA,HATTA,DUBAI,ZONE F
HATTA - 1,HATTA - 1,DUBAI,ZONE F
HATTA-2,HATTA-2,DUBAI,ZONE I
HATTAN,HATTAN,DUBAI,ZONE A
Hattan.Villa-6. The Lakes,,DUBAI,ZONE C
HAYAT TOWNHOUSES,HAYAT TOWNHOUSES,DUBAI,ZONE A
HAYAWA,HAYAWA,FUJAIRAH,ZONE I
HEALTHCARE CITY,DUBAI HEALTHCARE CITY,DUBAI,ZONE E
HESSYAN 1,HESSYAN 1,DUBAI,ZONE C
HESSYAN 2,HESSYAN 2,DUBAI,ZONE C
HILI KAHLEEF,HILI KAHLEEF,AL AIN,ZONE J
HILLI NAYFA,HILLI NAYFA,AL AIN,ZONE J
HOR AL ANZ,HOR AL ANZ,DUBAI,ZONE E
HOR AL ANZ EAST,HOR AL ANZ EAST,DUBAI,ZONE E
HUDAIBA,HUDAIBA,DUBAI,ZONE D
HYDRA VILLAG,HYDRA VILLAGE,ABUDHABI,ZONE K
ICAD 1 & RESIDENTIAL CITY,ICAD 1 & RESIDENTIAL CITY,ABU DHABI,ZONE K
ICAD 2,ICAD 2,ABU DHABI,ZONE K
ICAD 3,ICAD 3,ABU DHABI,ZONE K
IMPZ,IMPZ,DUBAI,ZONE A
